date,result,fighter,fighter2,division,stance,stance2,method,total_comp_time,round,time,knockdowns,sub_attempts,reversals,control,takedowns_landed,takedowns_attempts,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,head_strikes_landed,head_strikes_attempts,body_strikes_landed,body_strikes_attempts,leg_strikes_landed,leg_strikes_attempts,distance_strikes_landed,distance_strikes_attempts,clinch_strikes_landed,clinch_strikes_attempts,ground_strikes_landed,ground_strikes_attempts,takedowns_accuracy,sig_strikes_accuracy,total_strikes_accuracy,head_strikes_accuracy,body_strikes_accuracy,leg_strikes_accuracy,distance_strikes_accuracy,clinch_strikes_accuracy,ground_strikes_accuracy,takedowns_def,sig_strikes_def,total_strikes_def,sub_attempts_per_min,takedowns_landed_per_min,takedowns_attempts_per_min,sig_strikes_landed_per_min,sig_strikes_attempts_per_min,total_strikes_landed_per_min,total_strikes_attempts_per_min,head_strikes_landed_per_min,head_strikes_attempts_per_min,body_strikes_landed_per_min,body_strikes_attempts_per_min,leg_strikes_landed_per_min,leg_strikes_attempts_per_min,distance_strikes_landed_per_min,distance_strikes_attempts_per_min,clinch_strikes_landed_per_min,clinch_strikes_attempts_per_min,ground_strikes_landed_per_min,ground_strikes_attempts_per_min,stance2,knockdowns2,sub_attempts2,reversals2,control2,takedowns_landed2,takedowns_attempts2,sig_strikes_landed2,sig_strikes_attempts2,total_strikes_landed2,total_strikes_attempts2,head_strikes_landed2,head_strikes_attempts2,body_strikes_landed2,body_strikes_attempts2,leg_strikes_landed2,leg_strikes_attempts2,distance_strikes_landed2,distance_strikes_attempts2,clinch_strikes_landed2,clinch_strikes_attempts2,ground_strikes_landed2,ground_strikes_attempts2,takedowns_accuracy2,total_strikes_accuracy2,sig_strikes_accuracy2,head_strikes_accuracy2,body_strikes_accuracy2,leg_strikes_accuracy2,distance_strikes_accuracy2,clinch_strikes_accuracy2,ground_strikes_accuracy2,takedowns_def2,sig_strikes_def2,total_strikes_def2,sub_attempts_per_min2,takedowns_landed_per_min2,takedowns_attempts_per_min2,sig_strikes_landed_per_min2,sig_strikes_attempts_per_min2,total_strikes_landed_per_min2,total_strikes_attempts_per_min2,head_strikes_landed_per_min2,head_strikes_attempts_per_min2,body_strikes_landed_per_min2,body_strikes_attempts_per_min2,leg_strikes_landed_per_min2,leg_strikes_attempts_per_min2,distance_strikes_landed_per_min2,distance_strikes_attempts_per_min2,clinch_strikes_landed_per_min2,clinch_strikes_attempts_per_min2,ground_strikes_landed_per_min2,ground_strikes_attempts_per_min2,year,FOTN,gender
1/2/2016,1,Stipe Miocic,Andrei Arlovski,Heavyweight,Orthodox,Orthodox,KO/TKO,54,1,0:54,1,0,0,2,0,0,11,15,11,15,11,15,0,0,0,0,5,8,1,2,5,5,0,73.33333333,73.33333333,73.33333333,0,0,62.5,50,100,100,41.66666667,41.66666667,0,0,0,12.22222222,16.66666667,12.22222222,16.66666667,12.22222222,16.66666667,0,0,0,0,5.555555556,8.888888889,1.111111111,2.222222222,5.555555556,5.555555556,Orthodox,0,0,0,0,0,0,7,12,7,12,4,6,0,2,3,4,6,11,1,1,0,0,0,58.33333333,58.33333333,66.66666667,0,75,54.54545455,100,0,100,26.66666667,26.66666667,0,0,0,7.777777778,13.33333333,7.777777778,13.33333333,4.444444444,6.666666667,0,2.222222222,3.333333333,4.444444444,6.666666667,12.22222222,6.666666667,1.111111111,0,0,2016,No,Men
1/2/2016,1,Robbie Lawler,Carlos Condit,Welterweight,Southpaw,Orthodox,S-DEC,1500,5,5:00,1,0,0,42,0,0,92,177,93,178,82,167,7,7,3,3,76,153,14,20,2,4,0,51.97740113,52.24719101,49.10179641,100,100,49.67320261,70,50,100,64.44444444,64.38631791,0,0,0,3.68,7.08,3.72,7.12,3.28,6.68,0.28,0.28,0.12,0.12,3.04,6.12,0.56,0.8,0.08,0.16,Orthodox,0,0,0,10,0,0,176,495,177,497,96,372,47,79,33,44,149,447,27,48,0,0,0,35.61368209,35.55555556,25.80645161,59.49367089,75,33.33333333,56.25,0,100,48.02259887,47.75280899,0,0,0,7.04,19.8,7.08,19.88,3.84,14.88,1.88,3.16,1.32,1.76,5.96,17.88,5.96,1.92,0,0,2016,Yes,Men
1/17/2016,1,Francimar Barroso,Elvis Mutapcic,Light Heavyweight,Orthodox,Orthodox,U-DEC,900,3,5:00,0,0,0,194,1,10,57,95,90,132,34,69,7,8,16,18,49,83,5,6,3,6,10,60,68.18181818,49.27536232,87.5,88.88888889,59.03614458,83.33333333,50,100,68.33333333,56.08108108,0,0.066666667,0.666666667,3.8,6.333333333,6,8.8,2.266666667,4.6,0.466666667,0.533333333,1.066666667,1.2,3.266666667,5.533333333,0.333333333,0.4,0.2,0.4,Orthodox,0,0,0,0,0,0,38,120,65,148,22,100,14,16,2,4,25,99,6,11,7,10,0,43.91891892,31.66666667,22,87.5,50,25.25252525,54.54545455,70,90,40,31.81818182,0,0,0,2.533333333,8,4.333333333,9.866666667,1.466666667,6.666666667,0.933333333,1.066666667,0.133333333,0.266666667,1.666666667,6.6,1.666666667,0.733333333,0.466666667,0.666666667,2016,No,Men
1/17/2016,1,Rob Font,Joey Gomez,Bantamweight,Orthodox,Orthodox,KO/TKO,553,2,4:13,1,0,0,66,1,5,52,110,56,115,29,81,17,20,6,9,39,93,13,16,0,1,20,47.27272727,48.69565217,35.80246914,85,66.66666667,41.93548387,81.25,0,0,78.87323944,74.66666667,0,0.108499096,0.542495479,5.641952984,11.93490054,6.075949367,12.47739602,3.146473779,8.788426763,1.844484629,2.169981917,0.650994575,0.976491863,4.231464738,10.09041591,1.410488246,1.735985533,0,0.108499096,Orthodox,0,0,0,24,1,1,15,71,19,75,10,64,2,4,3,3,9,63,6,8,0,0,100,25.33333333,21.12676056,15.625,50,100,14.28571429,75,0,80,52.72727273,51.30434783,0,0.108499096,0.108499096,1.627486438,7.703435805,2.061482821,8.137432188,1.084990958,6.943942134,0.216998192,0.433996383,0.325497288,0.325497288,0.976491863,6.835443038,0.976491863,0.867992767,0,0,2016,No,Men
1/17/2016,1,Charles Rosa,Kyle Bochniak,Featherweight,Switch,Orthodox,U-DEC,900,3,5:00,0,0,0,63,1,8,92,232,95,237,54,171,13,26,25,35,87,225,5,7,0,0,12.5,39.65517241,40.08438819,31.57894737,50,71.42857143,38.66666667,71.42857143,0,80,59.68992248,59.23076923,0,0.066666667,0.533333333,6.133333333,15.46666667,6.333333333,15.8,3.6,11.4,0.866666667,1.733333333,1.666666667,2.333333333,5.8,15,0.333333333,0.466666667,0,0,Orthodox,1,0,0,44,1,1,52,129,53,130,37,109,4,8,11,12,46,116,4,9,2,4,20,40.76923077,40.31007752,33.94495413,50,91.66666667,39.65517241,44.44444444,50,87.5,60.34482759,59.91561181,0,0.066666667,0.333333333,3.466666667,8.6,3.533333333,8.666666667,2.466666667,7.266666667,0.266666667,0.533333333,0.733333333,0.8,3.066666667,7.733333333,3.066666667,0.6,0.133333333,0.266666667,2016,No,Men
1/17/2016,1,Ilir Latifi,Sean O'Connell,Light Heavyweight,Orthodox,Orthodox,KO/TKO,30,1,0:30,1,0,0,1,0,0,2,3,2,3,2,3,0,0,0,0,2,3,0,0,0,0,0,66.66666667,66.66666667,66.66666667,0,0,66.66666667,0,0,100,66.66666667,66.66666667,0,0,0,4,6,4,6,4,6,0,0,0,0,4,6,0,0,0,0,Orthodox,0,0,0,0,0,0,1,3,1,3,1,3,0,0,0,0,1,3,0,0,0,0,0,33.33333333,33.33333333,33.33333333,0,0,33.33333333,0,0,100,33.33333333,33.33333333,0,0,0,2,6,2,6,2,6,0,0,0,0,2,6,2,0,0,0,2016,No,Men
1/17/2016,1,Paul Felder,Daron Cruickshank,Lightweight,Orthodox,Switch,SUB,836,3,3:56,0,3,0,372,2,4,46,87,69,110,32,68,8,12,6,7,11,37,14,25,21,25,50,52.87356322,62.72727273,47.05882353,66.66666667,85.71428571,29.72972973,56,84,62.5,44.82758621,34.14634146,0.215311005,0.14354067,0.28708134,3.301435407,6.244019139,4.95215311,7.894736842,2.296650718,4.880382775,0.574162679,0.861244019,0.43062201,0.502392344,0.789473684,2.655502392,1.004784689,1.794258373,1.507177033,1.794258373,Switch,0,0,0,177,3,3,32,58,54,82,18,39,11,15,3,4,22,41,9,15,1,2,37.5,65.85365854,55.17241379,46.15384615,73.33333333,75,53.65853659,60,50,50,47.12643678,37.27272727,0,0.215311005,0.574162679,2.296650718,4.162679426,3.875598086,5.885167464,1.291866029,2.799043062,0.789473684,1.076555024,0.215311005,0.28708134,1.578947368,2.942583732,1.578947368,1.076555024,0.071770335,0.14354067,2016,No,Men
1/17/2016,1,Luke Sanders,Maximo Blanco,Featherweight,Southpaw,Orthodox,SUB,218,1,3:38,1,1,0,12,0,0,26,48,27,49,21,42,1,1,4,5,24,43,0,3,2,2,0,54.16666667,55.10204082,50,100,80,55.81395349,0,100,0,58.97435897,57.5,0.275229358,0,0,7.155963303,13.21100917,7.431192661,13.48623853,5.779816514,11.55963303,0.275229358,0.275229358,1.100917431,1.376146789,6.605504587,11.83486239,0,0.825688073,0.550458716,0.550458716,Orthodox,0,1,0,29,1,1,16,39,17,40,2,25,7,7,7,7,16,37,0,1,0,1,100,42.5,41.02564103,8,100,100,43.24324324,0,0,100,45.83333333,44.89795918,0.275229358,0.275229358,0.275229358,4.403669725,10.73394495,4.678899083,11.00917431,0.550458716,6.880733945,1.926605505,1.926605505,1.926605505,1.926605505,4.403669725,10.18348624,4.403669725,0.275229358,0,0.275229358,2016,No,Men
1/17/2016,1,Chris Wade,Mehdi Baghdad,Lightweight,Orthodox,Orthodox,SUB,270,1,4:30,0,1,0,256,2,2,5,13,40,58,4,12,0,0,1,1,1,3,0,0,4,10,100,38.46153846,68.96551724,33.33333333,0,100,33.33333333,0,40,100,80,66.66666667,0.222222222,0.444444444,0.444444444,1.111111111,2.888888889,8.888888889,12.88888889,0.888888889,2.666666667,0,0,0.222222222,0.222222222,0.222222222,0.666666667,0,0,0.888888889,2.222222222,Orthodox,0,0,0,0,0,0,1,5,2,6,1,5,0,0,0,0,0,4,0,0,1,1,0,33.33333333,20,20,0,0,0,0,100,0,61.53846154,31.03448276,0,0,0,0.222222222,1.111111111,0.444444444,1.333333333,0.222222222,1.111111111,0,0,0,0,0,0.888888889,0,0,0.222222222,0.222222222,2016,No,Men
1/17/2016,1,Ed Herman,Tim Boetsch,Light Heavyweight,Orthodox,Orthodox,KO/TKO,399,2,1:39,1,0,0,15,0,0,47,82,56,91,31,63,7,10,9,9,28,58,16,21,3,3,0,57.31707317,61.53846154,49.20634921,70,100,48.27586207,76.19047619,100,100,57.8125,53.62318841,0,0,0,7.067669173,12.33082707,8.421052632,13.68421053,4.661654135,9.473684211,1.052631579,1.503759398,1.353383459,1.353383459,4.210526316,8.721804511,2.406015038,3.157894737,0.45112782,0.45112782,Orthodox,0,0,0,8,0,0,27,64,32,69,16,50,5,7,6,7,23,55,4,9,0,0,0,46.37681159,42.1875,32,71.42857143,85.71428571,41.81818182,44.44444444,0,100,42.68292683,38.46153846,0,0,0,4.060150376,9.62406015,4.812030075,10.37593985,2.406015038,7.518796992,0.751879699,1.052631579,0.902255639,1.052631579,3.458646617,8.270676692,3.458646617,1.353383459,0,0,2016,No,Men
